sap;descricao;unidade;custo_un;normas
15489;15489 INST CT SUBTERRÂNEA DESº 15489;UN;0.0;
15489/A;15489/A  INST CT DES. 15489/ASFALTO;UN;0.0;
15489/C;15489/C  INST CT DES. 15489/CIMENTADO;UN;0.0;
15489/G;15489/G  INST CT DES. 15489/GRAMA;UN;0.0;
15489/P;15489/P  INST CT DES. 15489/PARALELO;UN;0.0;
15489/PP;15489/PP INST CT DES. 15489/P.PORT.;UN;0.0;
15490;15490 INST CT SUBTERRÂNEA DESº 15490;UN;0.0;
15490/A;15490/A  INST CT DES. 15490/ASFALTO;UN;0.0;
15490/C;15490/C  INST CT DES. 15490/CIMENTADO;UN;0.0;
15490/G;15490/G  INST CT DES. 15490/GRAMA;UN;0.0;
15490/P;15490/P  INST CT DES. 15490/PARALELO;UN;0.0;
15490/PP;15490/PP INST CT DES. 15490/P.PORT.;UN;0.0;
15491;15491 INST CT SUBTERRÂNEA DESº 15491;UN;0.0;
15491/A;15491/A  INST CT DES. 15491/ASFALTO;UN;0.0;
15491/C;15491/C  INST CT DES. 15491/CIMENTADO;UN;0.0;
15491/G;15491/G  INST CT DES. 15491/GRAMA;UN;0.0;
15491/P;15491/P  INST CT DES. 15491/PARALELO;UN;0.0;
15491/PP;15491/PP INST CT DES. 15491/P.PORT.;UN;0.0;
15492/A;15492/A  INST CT DES. 15492/ASFALTO;UN;0.0;
15492/C;15492/C  INST CT DES. 15492/CIMENTADO;UN;0.0;
15492/G;15492/G  INST CT DES. 15492/GRAMA;UN;0.0;
15492/P;15492/P  INST CT DES. 15492/PARALELO;UN;0.0;
15492/PP;15492/PP INST CT DES. 15492/P.PORT.;UN;0.0;
15493/C;15493/C  INST CAMARA ARMARIO D.15493/CE;UN;0.0;
15494;15494 INST CAIXA DE INSPEÇÃO DESº 15494;UN;0.0;
15494/CA;15494/CA INST CAIXA-INSPECAO/CENTRO-ASF;UN;0.0;
15494/CC;15494/CC INST CAIXA-INSPECAO/CENTRO-CIM;UN;0.0;
15494/CG;15494/CG INST CAIXA-INSPECAO/CENTRO-GRA;UN;0.0;
15494/CP;15494/CP INST CAIXA-INSPECAO/CENTRO-PAR;UN;0.0;
15494/FA;15494/FA INST CAIXA-INSPECAO/VALE-ASFAL;UN;0.0;
15494/FC;15494/FC INST CAIXA-INSPECAO/VALE-CIMEN;UN;0.0;
15494/FG;15494/FG INST CAIXA-INSPECAO/VALE-GRAMA;UN;0.0;
15494/FP;15494/FP INST CAIXA-INSPECAO/VALE-PARAL;UN;0.0;
15496;15496 INST CAIXA DE INSPEÇÃO DESº 15496;UN;0.0;
15496/CA;15496/CA INST CAIXA-INSPECAO/CENTRO-ASF;UN;0.0;
15496/CC;15496/CC INST CAIXA-INSPECAO/CENTRO-CIM;UN;0.0;
15496/CG;15496/CG INST CAIXA-INSPECAO/CENTRO-GRA;UN;0.0;
15496/CP;15496/CP INST CAIXA-INSPECAO/CENTRO-PAR;UN;0.0;
15496/FA;15496/FA INST CAIXA-INSPECAO/VALE-ASFAL;UN;0.0;
15496/FC;15496/FC INST CAIXA-INSPECAO/VALE-CIMEN;UN;0.0;
15496/FG;15496/FG INST CAIXA-INSPECAO/VALE-GRAMA;UN;0.0;
15496/FP;15496/FP INST CAIXA-INSPECAO/VALE-PARAL;UN;0.0;
15497;15497 INST CAIXA DE INSPEÇÃO DESº 15497;UN;0.0;
15497/CA;15497/CA INST CAIXA-INSPECAO/CENTRO-ASF;UN;0.0;
15497/CC;15497/CC INST CAIXA-INSPECAO/CENTRO-CIM;UN;0.0;
15497/CG;15497/CG INST CAIXA-INSPECAO/CENTRO-GRA;UN;0.0;
15497/CP;15497/CP INST CAIXA-INSPECAO/CENTRO-PAR;UN;0.0;
15497/FA;15497/FA INST CAIXA-INSPECAO/VALE-ASFAL;UN;0.0;
15497/FC;15497/FC INST CAIXA-INSPECAO/VALE-CIMEN;UN;0.0;
15497/FG;15497/FG INST CAIXA-INSPECAO/VALE-GRAMA;UN;0.0;
15497/FP;15497/FP INST CAIXA-INSPECAO/VALE-PARAL;UN;0.0;
15524;15524    INST CAIXA/PASSAGEM(0,8X0,8X0,;UN;0.0;
15525;15525    INST CAIXA/PASSAGEM(0,6X0,6X0,;UN;0.0;
15CECFR;15CECFR - INST. CH FUS. RELIGADORA C/ANC;UN;0.0;
